Year,Sex,Aggregate levels: Advanced,Aggregate levels: Basic,Aggregate levels: Intermediate,Aggregate levels: Less than basic,Aggregate levels: Level not stated,Aggregate bands: 15-24,Aggregate bands: 25-54,Aggregate bands: 55-64,Aggregate bands: 65+,Place of birth: Foreign-born,Place of birth: Native-born,Place of birth: Status unknown
2024,Male,731.3,375.3,790.1,3.1,46.3,174.7,1312.2,383.8,75.3,340.7,1605.3,
2024,Female,357.1,138.2,246.7,,28.3,44.2,538.4,154.7,33.7,212.9,558.2,
2023,Male,710.3,361.3,789.5,3,35.9,164.6,1307.7,358.5,69.3,289.8,1610.3,
2023,Female,298.1,111.5,253.7,3.5,20.9,41.1,492.7,137.4,16.5,168.8,519,
2022,Male,671.8,375.8,808.2,7.1,114.2,179.5,1355.9,372,69.6,309.5,1667.4,
2022,Female,281.9,123.2,266,2.3,58.7,65.8,527.9,119.7,18.8,185.2,547,
2021,Male,549.3,366,772.1,116.5,185.9,154.6,1374.1,384.3,76.6,304.4,1685.3,
2021,Female,285.7,154.5,214.2,47.1,68.9,63,548.5,132.9,25.9,192.3,578,
2020,Male,543.5,353.3,875.2,121.4,197,185.2,1446.9,386.9,71.4,302.4,1787.8,
2020,Female,263.9,149.3,207.2,43.3,71.7,59.7,522,125.7,27.9,153.2,582.1,
2019,Male,481.6,387.8,936.7,137.7,214.9,185.7,1468.6,425.4,78.8,329.7,1828.8,
2019,Female,263,160.4,189.2,47.3,91.5,61.6,553.7,114.7,21.4,189.9,561.6,
2018,Male,479.2,429,913.9,134.6,214.3,195.1,1490.5,410.3,75.1,328,1842.8,
2018,Female,248.1,153.6,189.1,49.6,82.1,53.9,543.6,104.8,20.3,178.4,544.2,
2017,Male,465,400.2,957.8,136.1,230.5,194.9,1543.4,384.5,66.7,360.5,1849.4,
2017,Female,222.1,161.9,202.2,61.4,86.6,61,545.3,109.4,18.5,198.2,569.8,
2016,Male,469.1,412.8,969.7,152.4,229.5,200.5,1570.8,386.5,75.8,328.5,1860,
2016,Female,226.2,155.6,202.5,57,91.9,65,537,110.8,20.2,204.7,541.7,
2015,Male,464.4,419.3,996.7,150.5,227.2,209.7,1580.5,393,74.8,325.5,1879.6,
2015,Female,227,158.6,204.5,66.8,80.1,64.6,539.6,109.8,22.9,172,576.1,
2014,Male,343.3,316.4,752.7,123.2,155.1,157,1204.4,279.8,49.5,320.2,1935.2,
2014,Female,174.4,131.7,164.4,48.1,51.2,44.2,437.1,74.6,13.8,162.3,563.5,
2013,Male,426,408,993.5,168.7,191.4,192.4,1570.9,367,57.4,284.2,1944.2,
2013,Female,188.5,169.2,218.2,65.2,56.7,66.7,527,85.7,18.5,151.3,548.4,
2012,Male,432.5,423.7,984.7,163.7,188.7,176.9,1602.5,353.3,60.6,271.4,1931.2,
2012,Female,189.6,172.7,217.5,69.8,60.9,62,532.9,98.6,17,133.1,582.9,
2011,Male,407.3,426.7,989.4,174.2,180.3,192.9,1576.7,359.9,48.5,265.4,1896,
2011,Female,179,169.7,189.9,79.7,67,64.6,510.2,97.6,12.9,141.6,523.7,
2010,Male,394.7,412,970.7,184.1,235.6,177.8,1593,371.8,54.4,282.7,1940.3,
2010,Female,162.8,186.1,171.1,74.4,78.6,60.7,501.8,93.5,17,133.9,571.3,
2009,Male,342.6,424.3,943.7,197.7,215.4,163.8,1563.2,348.6,48.2,251.6,1948.1,
2009,Female,156.2,193.6,171.6,89.1,77.1,62.4,515.3,96.6,13.3,111.3,599.5,
2008,Male,470.9,483.3,1123.6,267.6,272.8,252.8,1885.3,432,48.2,268.5,2192.8,
2008,Female,230.6,252.9,230.9,118.2,91.3,96.6,690.1,124.3,12.8,134.9,695.2,
2007,Male,508.5,769.9,1169,26.3,303.6,266.1,2009.4,449.6,52.1,299.1,2511.3,
2007,Female,232.7,356.3,226.1,9.3,138.6,111.4,706.8,129.6,15.2,137.4,806.7,
2006,Male,491.4,760,1231.5,24.8,293.4,260,2049.6,440.3,51.2,259.4,2549.6,
2006,Female,201.1,378.1,221.4,6.3,143.8,97.1,707,130.4,16.1,107,849.3,
2005,Male,76.9,94.2,221.7,59.7,2382.7,284.3,2078.8,426.8,45.4,219.8,2622.3,
2005,Female,36.2,47,38,31.9,800.1,108.6,716.4,113.1,15.2,92,862.7,
2004,Male,671,716.4,1460.2,,18.1,287.7,2107.6,427.7,42.7,197,2668.2,
2004,Female,222.5,374.8,361.7,,4.4,95.3,737.1,117.6,13.3,83.1,880.3,
2003,Male,731.8,751,1327.2,,272.8,304.3,2269.7,470.1,38.6,196.7,2886,
2003,Female,218.1,415.8,332.6,,91.5,117.9,787,141.9,11.1,97,961,
2002,Male,673,825.1,1413.5,,269.6,351,2358.7,436.8,34.8,194.6,2985.9,
2002,Female,219.3,466.6,350.1,,81.4,127.6,856.6,120.8,12.6,89.6,1027.9,
2001,Male,736.6,872.6,1415.3,,281.7,357.9,2480.4,425.8,42.1,199.7,3105.1,
2001,Female,215.8,524.1,342.8,,89.3,141.2,895.7,123.2,11.8,92.9,1078.2,
2000,Male,731.9,879.6,1478.9,,297.3,364.3,2553.9,436.8,32.6,193.9,3193.8,
2000,Female,214.2,529.7,373.4,,114.2,149.7,950.2,120.7,10.9,97.6,1134,
1999,Male,724.6,912.8,1497.3,,329.7,404.2,2559.9,464,36.3,196.4,3268,
1999,Female,198.8,615.3,369.2,,117.4,186.5,970.4,134.9,8.9,106.2,1194.5,
1998,Male,,,,,,449.3,2750.7,433.6,35,205.7,3462.9,
1998,Female,,,,,,182.4,1025.9,118.1,10.3,94.3,1242.4,
1997,Male,727.1,1425.5,1488,,3,461,2719.3,429.8,33.5,204.4,3438.8,
1997,Female,184.2,757.8,416,,,192.7,1040.8,113,11.7,103.8,1254.5,
1996,Male,719.5,1473.3,1458.6,,14.2,458.7,2740.7,427.6,38.5,201.2,3451,13.4
1996,Female,179.9,814.8,388.4,,3.7,224.4,1020.4,128.3,13.7,96.4,1282.9,7.4
1995,Male,691.2,1409.3,1430.7,,8.1,468.6,2622.7,405.3,42.8,185.1,3346.7,7.5
1995,Female,166.3,799.7,411.1,,2.3,223.4,1008.6,131.1,16.4,103.7,1272,3.9