Year,Female_Place_of_birth_Foreign_born,Female_Place_of_birth_Native_born,Female_Place_of_birth_Status_unknown,Male_Place_of_birth_Foreign_born,Male_Place_of_birth_Native_born,Male_Place_of_birth_Status_unknown
1995,0.03924936504298892,0.24114683834996112,5.2677454393824844e-05,0.10070257530493294,0.6187133886595525,0.0001351551881707167
1996,0.0384152466944754,0.23602204200399696,5.155796542337278e-05,0.10153669365344643,0.6238381850055167,0.00013627467714116877
1997,0.03800286404505328,0.2334883762494145,5.1004497407165486e-05,0.1019490763028686,0.626371850760099,0.00013682814515737605
1998,0.03737513409047754,0.2296316235677416,5.0162006935852546e-05,0.10257680625744432,0.630228603441772,0.00013767063562868898
1999,0.03820181922951082,0.2347107505133732,5.127151962890584e-05,0.10175012111841103,0.6251494764961405,0.00013656112293563568
2000,0.037312639808288584,0.229247660704946,5.0078131956059175e-05,0.10263930053963327,0.6306125663045675,0.00013775451060848233
2001,0.03662483617912277,0.22502181729582846,4.9155015256779956e-05,0.10332710416879907,0.6348384097136852,0.0001386776273077616
2002,0.03638379318728918,0.22354085689498063,4.883150604343707e-05,0.1035681471606327,0.636319370114533,0.00013900113652110449
2003,0.035756933220805344,0.2196894493922052,4.799018320268284e-05,0.10419500712711652,0.6401707776173083,0.00013984245936185868
2004,0.03520911573182376,0.2163236763327931,4.725494504633662e-05,0.1047428246160981,0.6435365506767206,0.00014057769751820492
2005,0.035215167801740464,0.21636086005600205,4.726306766530578e-05,0.1047367725461814,0.6434993669535115,0.00014056957489923575
2006,0.03546080829883373,0.21787006738151862,4.759274729372103e-05,0.10449113204908815,0.6419901596279949,0.00014023989527082054
2007,0.036033826681741286,0.22139067392389755,4.836180813583592e-05,0.10391811366618059,0.638469553085616,0.00013947083442870565
2008,0.03650026890641434,0.22425647997272488,4.898783072220533e-05,0.10345167144150752,0.6356037470367887,0.0001388448118423362
2009,0.034228837654987215,0.21030087930986038,4.593929182164713e-05,0.10572310269293467,0.6495593476996533,0.0001418933507428944
2010,0.03281799855545346,0.2016327291907327,4.404577297767821e-05,0.10713394179246842,0.658227497818781,0.00014378686958686337
2011,0.033495988796294784,0.20579827945713677,4.4955718908071215e-05,0.10645595155162708,0.6540619475523768,0.0001428769236564703
2012,0.0342433547824225,0.21039007207461236,4.595877558444339e-05,0.10570858556549935,0.6494701549349012,0.00014187386698009813
2013,0.033848232315225484,0.20796245232531865,4.542847284647682e-05,0.10610370803269636,0.651897774684195,0.00014240416971806472
2014,0.03527279261025088,0.21671490502889754,4.734040721510322e-05,0.10467914773767098,0.643145321980616,0.0001404922353494383
2015,0.03443540179718309,0.21157000276580543,4.62165261964709e-05,0.10551653855073877,0.6482902242437081,0.00014161611636807065
2016,0.0345799137986337,0.21245787986178571,4.6410478999463674e-05,0.10537202654928815,0.6474023471477278,0.00014142216356507784
2017,0.03514475308802004,0.2159282343162379,4.716856249645531e-05,0.1048071872599018,0.6439319926932757,0.0001406640800680862
2018,0.03494929226410297,0.21472732929122013,4.690623013448221e-05,0.10500264808381887,0.6451328977182934,0.0001409264124300593
2019,0.0361386604273097,0.22203476908998543,4.850250786040639e-05,0.10381327992061218,0.6378254579195283,0.00013933013470413517
2020,0.036418112941156856,0.22375171636058155,4.8877567355949805e-05,0.10353382740676502,0.6361085106489321,0.00013895507520859176
2021,0.03906119049603398,0.23999069997660355,5.242490110781778e-05,0.10089074985188788,0.61986952703291,0.00013540774145672375
2022,0.03782401104486504,0.2323895091600346,5.0764454778442814e-05,0.10212792930305681,0.6274707178494788,0.00013706818778609872
2023,0.037191803608186844,0.22850524697211638,4.991595497783263e-05,0.10276013673973501,0.6313549800373973,0.0001379166875867089
2024,0.03971400294745961,0.24400155871341003,5.33010553615243e-05,0.10023793740046225,0.6158586682961036,0.00013453158720301724
2025,0.039500663836763435,0.2426908100685739,5.30147281493055e-05,0.10045127651115845,0.6171694169409397,0.00013481791441523604
2026,0.03956104181193201,0.2430617704090005,5.309576278591302e-05,0.10039089853598983,0.616798456600513,0.0001347368797786285
2027,0.039594031744686065,0.2432644594963859,5.3140039315640414e-05,0.10035790860323578,0.6165957675131276,0.0001346926032489011
2028,0.03962976211603911,0.24348398575051555,5.318799384956377e-05,0.10032217823188275,0.6163762412589981,0.0001346446487149778
2029,0.03966521827999894,0.24370182728322742,5.3235580363585804e-05,0.10028672206792293,0.6161583997262862,0.00013459706220095573
2030,0.0397007018810612,0.24391983738861542,5.328320370155926e-05,0.10025123846686068,0.6159403896208983,0.0001345494388629823
2031,0.03973618273677592,0.24413783062667638,5.3330823354940114e-05,0.10021575761114594,0.6157223963828372,0.0001345018192096014
2032,0.03977166386718922,0.2443558255524765,5.337844337700011e-05,0.10018027648073263,0.615504401457037,0.0001344541991875414
2033,0.039807144970116275,0.24457382030940206,5.34260633621702e-05,0.1001447953778056,0.6152864067001115,0.00013440657920237134
2034,0.03984262607579359,0.24479181508322514,5.347368335103148e-05,0.10010931427212827,0.6150684119262885,0.00013435895921351006
2035,0.03987810718119573,0.2450098098553575,5.3521303339523426e-05,0.10007383316672613,0.6148504171541561,0.0001343113392250181
2036,0.039913588286625376,0.24522780462765895,5.3568923328052314e-05,0.10003835206129649,0.6146324223818547,0.00013426371923648924
2037,0.0399490693920523,0.24544579939994357,5.361654331657753e-05,0.10000287095586957,0.61441442760957,0.000134216099247964
2038,0.03998455049747948,0.24566379417222986,5.3664163305103096e-05,0.09996738985044237,0.6141964328372838,0.00013416847925943844
2039,0.04002003160290664,0.24588178894451598,5.371178329362862e-05,0.09993190874501522,0.6139784380649976,0.0001341208592709129
2040,0.040055512708333796,0.24609978371680208,5.3759403282154156e-05,0.09989642763958806,0.6137604432927115,0.0001340732392823874
2041,0.04009099381376096,0.2463177784890882,5.38070232706797e-05,0.0998609465341609,0.6135424485204254,0.00013402561929386184
2042,0.040126474919188124,0.24653577326137435,5.3854643259205237e-05,0.09982546542873376,0.6133244537481393,0.0001339779993053363
2043,0.040161956024615274,0.24675376803366045,5.390226324773076e-05,0.09978998432330656,0.613106458975853,0.00013393037931681078
2044,0.04019743713004244,0.24697176280594657,5.394988323625631e-05,0.09975450321787942,0.612888464203567,0.00013388275932828524
2045,0.040232918235469595,0.24718975757823267,5.399750322478184e-05,0.09971902211245226,0.612670469431281,0.0001338351393397597
2046,0.04026839934089675,0.2474077523505188,5.404512321330737e-05,0.0996835410070251,0.6124524746589948,0.00013378751935123418
2047,0.04030388044632391,0.2476257471228049,5.4092743201832904e-05,0.09964805990159795,0.6122344798867086,0.00013373989936270862
2048,0.04033936155175107,0.24784374189509104,5.414036319035844e-05,0.09961257879617079,0.6120164851144225,0.00013369227937418308
2049,0.04037484265717823,0.24806173666737716,5.418798317888398e-05,0.09957709769074365,0.6117984903421364,0.00013364465938565758
2050,0.0404103237626054,0.24827973143966325,5.423560316740952e-05,0.09954161658531646,0.6115804955698503,0.00013359703939713202
