Year,Female_Advanced,Female_Basic_and_below_basic,Female_Intermediate,Female_Level_not_stated,Male_Advanced,Male_Basic_and_below_basic,Male_Intermediate,Male_Level_not_stated
1995,0.06725888558567837,0.08493879804592504,0.09792136695333747,0.030329830262402987,0.17256694428557454,0.21792851163736654,0.25123804725961785,0.07781761597009725
1996,0.0658295154415719,0.08313369852716362,0.09584036490915553,0.029685267786004665,0.17399631442968108,0.2197336111561279,0.2533190493037998,0.0784621784464956
1997,0.06512284420231432,0.08224126914547694,0.09481153112560196,0.029366600318481716,0.1747029856689386,0.22062604053781457,0.2543478830873533,0.07878084591401853
1998,0.06404714738155633,0.08088281079129242,0.09324543763180176,0.028881523860504483,0.17577868248969658,0.22198449889199912,0.2559139765811535,0.07926592237199576
1999,0.06546377975562713,0.08267182424399433,0.09530789491653713,0.029520342346354346,0.17436205011562583,0.22019548543929726,0.2538515192964182,0.07862710388614592
2000,0.06394005531087182,0.08074756811391257,0.09308952363084896,0.028833231589557286,0.17588577456038113,0.22211974156937897,0.25606989058210633,0.07931421464294296
2001,0.0627614144449926,0.07925910547282318,0.09137355519442675,0.028301733377965446,0.17706441542626034,0.22360820421046837,0.2577858590185286,0.07984571285453479
2002,0.06234835596643611,0.07873746895765114,0.09077218854227796,0.028115468121947994,0.17747747390481683,0.2241298407256404,0.25838722567067735,0.08003197811055227
2003,0.061274149983287104,0.07738089332800906,0.08920826554023223,0.02763106394468484,0.17855167988796583,0.22548641635528247,0.25995114867272306,0.08051638228781541
2004,0.060335393553141305,0.07619537200781269,0.08784154184156175,0.027207739607147435,0.17949043631811162,0.2266719376754788,0.26131787237139353,0.08093970662535281
2005,0.060345764561121625,0.07620846917623444,0.08785664086185141,0.027212416326200303,0.1794800653101313,0.22665884050705712,0.26130277335110386,0.08093502990629994
2006,0.0607667014621673,0.07674005506435401,0.0884694776103727,0.027402234290752118,0.17905912840908567,0.22612725461893757,0.2606899366025826,0.08074521194174814
2007,0.06174864289771044,0.07798011315571621,0.0898990738161264,0.02784503254422163,0.1780771869735425,0.22488719652757533,0.2592603403968289,0.08030241368827862
2008,0.06254795224162601,0.07898953182728459,0.09106277825299347,0.02820547438795735,0.1772778776296269,0.22387777785600693,0.2580966359599618,0.0799419718445429
2009,0.058655559728061996,0.0740739710244829,0.08539589286932775,0.026450232634796598,0.18117027014319095,0.22879333865880866,0.26376352134362757,0.08169721359770366
2010,0.05623790365970497,0.07102080119054191,0.08187605775795087,0.025360010910966093,0.18358792621154796,0.23184650849274963,0.2672833564550044,0.08278743532153415
2011,0.05739972800990803,0.07248802686618926,0.08356754324036542,0.025883925855876934,0.18242610186134495,0.2303792828171023,0.2655918709725899,0.08226352037662332
2012,0.05868043671173123,0.07410538726151202,0.08543211095747112,0.026461450701904886,0.1811453931595217,0.2287619224217795,0.26372730325548416,0.08168599553059536
2013,0.05800334303685452,0.07325031030911047,0.08444633877849371,0.026156120988931914,0.18182248683439842,0.2296169993741811,0.2647130754344616,0.08199132524356834
2014,0.06044451215610193,0.07633317391902814,0.08800040624540818,0.027256945725825252,0.17938131771515103,0.2265341357642634,0.26115900796754715,0.08089050050667501
2015,0.059009534218880874,0.07452099252249408,0.08591123988564786,0.026609854462162158,0.18081629565237206,0.22834631716079742,0.2632481743273074,0.08153759177033808
2016,0.059257174305814196,0.074833728172943,0.08627177597859376,0.026721525682067915,0.18056865556543872,0.22803358151034855,0.2628876382343615,0.08142592055043232
2017,0.06022509980212535,0.07605608604489948,0.08768096655441794,0.027158003565311648,0.1796007300691276,0.22681122363839204,0.26147844765853734,0.08098944266718859
2018,0.059890152289524254,0.07563309302500225,0.08719332067676303,0.027006961794168057,0.17993567758172868,0.2272342166582893,0.26196609353619227,0.08114048443833219
2019,0.06192828913889119,0.07820698185368063,0.09016061852284087,0.027926042509742836,0.17789754073236175,0.22466032782961087,0.2589987956901144,0.08022140372275739
2020,0.06240716732290485,0.07881173967870764,0.09085781125766569,0.02814198860981612,0.17741866254834807,0.22405557000458387,0.2583016029552896,0.08000545762268411
2021,0.06693642405515637,0.08453157311824319,0.09745189926020485,0.030184418940140918,0.17288940581609658,0.21833573656504834,0.2517075149527504,0.07796302729235934
2022,0.06481635635306784,0.081854216798356,0.0943653193144566,0.02922839219379768,0.17500947351818508,0.22101309288493554,0.2547940948984987,0.07891905403870256
2023,0.06373298678509186,0.08048606881103627,0.09278805516432855,0.028739855774824345,0.17609284308616105,0.22238124087225528,0.2563713590486267,0.07940759045767588
2024,0.06805510299254178,0.08594431202275221,0.0990805698778758,0.030688877823061348,0.17177072687871117,0.21692299766053932,0.25007884433507954,0.0774585684094389
2025,0.06768951871311334,0.08548262894536043,0.09854832031610329,0.03052402065890952,0.17213631115813963,0.2173846807379311,0.250611093896852,0.07762342557359073
2026,0.06779298421680521,0.08561329176331048,0.0986989544437104,0.03057067755989238,0.1720328456544477,0.21725401791998103,0.2504604597692449,0.07757676867260786
2027,0.06784951675204888,0.08568468464400235,0.09878125945189174,0.030596170432444662,0.17197631311920403,0.21718262503928917,0.25037815476106356,0.0775512758000556
2028,0.0679107453848213,0.08576200805530178,0.09887040144949623,0.030623780970784907,0.17191508448643167,0.21710530162798977,0.25028901276345905,0.07752366526171534
2029,0.06797150412760528,0.08583873805964122,0.09895885934016696,0.0306511796161765,0.17185432574364765,0.2170285716236503,0.2502005548727883,0.07749626661632374
2030,0.0680323098874284,0.08591552744008768,0.09904738568235458,0.03067859946350748,0.17179351998382453,0.21695178224320383,0.2501120285306007,0.07746884676899275
2031,0.06809311094274188,0.08599231087938024,0.09913590517530574,0.03070601718937932,0.17173271892851105,0.2168749988039113,0.2500235090376495,0.07744142904312093
2032,0.0681539124687871,0.08606909491314271,0.09922442535358927,0.030733435127523676,0.17167191740246585,0.21679821477014882,0.24993498885936605,0.07741401110497657
2033,0.06821471394773103,0.08614587888742271,0.09931294546329862,0.0307608530444281,0.1716111159235219,0.21672143079586878,0.24984646874965663,0.07738659318807214
2034,0.06827551543138792,0.08622266286765454,0.09940146557986952,0.030788270963457792,0.17155031443986504,0.21664464681563697,0.24975794863308573,0.07735917526904246
2035,0.06833631691457322,0.0862994468472908,0.09948998569575386,0.030815688882274834,0.17148951295667972,0.21656786283600074,0.24966942851720142,0.07733175735022542
2036,0.06839711839780571,0.08637623082698667,0.0995785058117069,0.030843106801113147,0.17142871147344724,0.2164910788563049,0.24958090840124844,0.0773043394313871
2037,0.06845791988103347,0.08645301480667658,0.09966702592765303,0.030870524719949336,0.17136790999021945,0.21641429487661495,0.24949238828530224,0.0772769215125509
2038,0.06851872136426172,0.08652979878636709,0.09975554604359989,0.030897942638785744,0.1713071085069912,0.2163375108969245,0.24940386816935536,0.07724950359371452
2039,0.06857952284748993,0.08660658276605752,0.09984406615954669,0.030925360557622125,0.17124630702376303,0.216260726917234,0.2493153480534086,0.07722208567487812
2040,0.06864032433071812,0.08668336674574796,0.09993258627549347,0.0309527784764585,0.1711855055405348,0.21618394293754356,0.24922682793746181,0.07719466775604175
2041,0.06870112581394631,0.08676015072543841,0.10002110639144024,0.030980196395294878,0.17112470405730662,0.21610715895785315,0.24913830782151503,0.07716724983720537
2042,0.06876192729717452,0.08683693470512885,0.10010962650738701,0.031007614314131265,0.17106390257407844,0.21603037497816271,0.2490497877055683,0.07713983191836898
2043,0.06882272878040271,0.0869137186848193,0.10019814662333382,0.031035032232967646,0.17100310109085023,0.21595359099847225,0.24896126758962148,0.0771124139995326
2044,0.06888353026363091,0.08699050266450972,0.10028666673928058,0.031062450151804023,0.17094229960762203,0.2158768070187818,0.2488727474736747,0.07708499608069622
2045,0.06894433174685911,0.08706728664420019,0.10037518685522738,0.031089868070640413,0.17088149812439385,0.21580002303909138,0.24878422735772796,0.07705757816185985
2046,0.0690051332300873,0.08714407062389062,0.10046370697117415,0.03111728598947679,0.17082069664116561,0.21572323905940088,0.24869570724178117,0.07703016024302346
2047,0.06906593471331551,0.08722085460358107,0.10055222708712093,0.03114470390831317,0.17075989515793744,0.21564645507971045,0.24860718712583435,0.07700274232418707
2048,0.06912673619654369,0.08729763858327151,0.10064074720306769,0.031172121827149547,0.17069909367470926,0.21556967110002,0.24851866700988756,0.0769753244053507
2049,0.06918753767977188,0.08737442256296196,0.10072926731901448,0.03119953974598593,0.17063829219148102,0.2154928871203296,0.24843014689394077,0.07694790648651431
2050,0.06924833916300009,0.0874512065426524,0.10081778743496128,0.03122695766482231,0.17057749070825284,0.2154161031406391,0.248341626777994,0.07692048856767794
